Comunidade,Município,Estado,Índice de Desmatamento (%),Acesso à Água Potável (%),Cobertura Vegetal (%),Renda Média Mensal (R$),Densidade Populacional (hab/km²),Frequência de Queimadas (ano),Distância de Área Urbana (km),Presença de Escola (Sim/Não),Presença de Unidade de Saúde (Sim/Não),Latitude,Longitude,Cluster,Cluster_Nome
Comunidade 1,SÃO DOMINGOS DO CAPIM,Pará,25.6,86.5,22.9,2863.0,123.2,0,74.7,Sim,Não,-1.6789331,-47.7717815,0,Baixo Impacto
Comunidade 2,SALINÓPOLIS,Pará,12.9,99.3,21.8,799.0,120.3,11,87.3,Sim,Não,-0.6259282,-47.3442819,3,Perfis Mistos1
Comunidade 3,TRACUATEUA,Pará,81.3,58.9,64.5,1924.0,104.8,5,43.9,Não,Sim,-1.0765338,-46.9030822,2,Perfis Mistos
Comunidade 4,SÃO MIGUEL DO GUAMÁ,Pará,81.5,56.0,25.5,1715.0,42.3,0,5.3,Sim,Sim,-1.6116804,-47.4757551,0,Baixo Impacto
Comunidade 5,MAGALHÃES BARATA,Pará,58.8,84.3,39.4,1990.0,89.4,9,17.0,Sim,Sim,-0.7960066,-47.6010399,3,Perfis Mistos1
Comunidade 6,PALESTINA DO PARÁ,Pará,33.8,53.9,86.2,447.0,55.4,5,3.1,Sim,Sim,-5.7423938,-48.3185533,2,Perfis Mistos
Comunidade 7,SÃO DOMINGOS DO CAPIM,Pará,34.7,95.2,50.3,2668.0,15.6,0,65.7,Sim,Não,-1.6789331,-47.7717815,0,Baixo Impacto
Comunidade 8,CURIONÓPOLIS,Pará,66.7,90.1,66.7,2824.0,137.8,5,33.9,Sim,Não,-6.0990443,-49.6059039,2,Perfis Mistos
Comunidade 9,MARAPANIM,Pará,81.3,60.0,24.6,1869.0,22.2,9,54.7,Não,Não,-0.7134493,-47.6985381,3,Perfis Mistos1
Comunidade 10,PONTA DE PEDRAS,Pará,80.4,82.6,26.3,2211.0,142.6,7,49.8,Não,Não,-1.3914098,-48.8714528,3,Perfis Mistos1
Comunidade 11,XINGUARA,Pará,71.3,82.8,13.5,2798.0,68.0,10,9.1,Sim,Sim,-7.0998514,-49.9416632,3,Perfis Mistos1
Comunidade 12,SANTARÉM NOVO,Pará,59.6,37.2,24.4,2239.0,29.4,1,40.9,Sim,Não,-0.9283904,-47.3999958,0,Baixo Impacto
Comunidade 13,SÃO FÉLIX DO XINGU,Pará,12.2,93.2,33.7,797.0,82.2,1,22.8,Não,Sim,-6.6386974,-51.9787582,0,Baixo Impacto
Comunidade 14,SANTA MARIA DAS BARREIRAS,Pará,18.7,65.4,25.0,1898.0,131.2,11,42.4,Não,Sim,-8.8710157,-49.7171263,3,Perfis Mistos1
Comunidade 15,CAPANEMA,Pará,81.4,87.9,17.5,1977.0,110.4,3,21.2,Sim,Sim,-1.1933054,-47.1828679,0,Baixo Impacto
Comunidade 16,BANNACH,Pará,56.5,52.4,20.3,1503.0,121.4,10,84.2,Sim,Sim,-7.3508505,-50.4064531,3,Perfis Mistos1
Comunidade 17,PONTA DE PEDRAS,Pará,5.8,92.7,49.2,2315.0,99.5,2,18.2,Não,Sim,-1.3914098,-48.8714528,0,Baixo Impacto
Comunidade 18,ANAJÁS,Pará,13.6,57.2,27.5,2829.0,104.5,3,96.1,Sim,Não,-0.9878802,-49.9390114,0,Baixo Impacto
Comunidade 19,RURÓPOLIS,Pará,61.4,30.8,41.0,2806.0,127.7,11,42.2,Não,Sim,-4.1014311,-54.9086853,3,Perfis Mistos1
Comunidade 20,PALESTINA DO PARÁ,Pará,5.4,93.4,52.8,1572.0,39.0,6,84.8,Sim,Sim,-5.7423938,-48.3185533,1,Alto Impacto
Comunidade 21,CONCEIÇÃO DO ARAGUAIA,Pará,18.7,36.4,68.7,694.0,74.4,10,63.2,Sim,Sim,-8.2696905,-49.2676864,1,Alto Impacto
Comunidade 22,SÃO DOMINGOS DO ARAGUAIA,Pará,51.6,52.4,13.3,2961.0,34.7,0,73.8,Não,Não,-5.5412778,-48.7300015,0,Baixo Impacto
Comunidade 23,PORTEL,Pará,63.8,96.5,77.9,2581.0,148.2,5,77.0,Sim,Sim,-1.9387118,-50.8240402,2,Perfis Mistos
Comunidade 24,BREVES,Pará,60.4,96.5,63.4,724.0,141.7,2,51.0,Sim,Não,-1.68036,-50.479085,2,Perfis Mistos
Comunidade 25,CURRALINHO,Pará,24.1,70.1,16.9,2794.0,7.8,10,54.8,Sim,Sim,-1.8137876,-49.7980165,3,Perfis Mistos1
Comunidade 26,TRACUATEUA,Pará,65.5,74.2,84.3,2662.0,106.4,9,51.9,Sim,Não,-1.0765338,-46.9030822,1,Alto Impacto
Comunidade 27,CACHOEIRA DO ARARI,Pará,25.2,61.4,88.3,1749.0,138.9,6,59.2,Sim,Sim,-1.0143572,-48.9621089,1,Alto Impacto
Comunidade 28,SÃO SEBASTIÃO DA BOA VISTA,Pará,32.7,50.5,15.2,1937.0,28.7,9,3.9,Sim,Não,-1.7182884,-49.5319955,3,Perfis Mistos1
Comunidade 29,CASTANHAL,Pará,68.5,53.0,33.5,1437.0,86.1,1,40.2,Sim,Não,-1.2927031,-47.9223903,0,Baixo Impacto
Comunidade 30,IGARAPÉ-MIRI,Pará,60.2,77.1,78.5,542.0,137.5,1,61.0,Não,Sim,-1.9785213,-48.9634826,2,Perfis Mistos
Comunidade 31,SANTA MARIA DAS BARREIRAS,Pará,77.2,82.7,73.6,1272.0,7.0,3,60.2,Sim,Sim,-8.8710157,-49.7171263,2,Perfis Mistos
Comunidade 32,CACHOEIRA DO ARARI,Pará,60.9,85.4,25.7,2487.0,105.2,0,79.5,Sim,Sim,-1.0143572,-48.9621089,0,Baixo Impacto
Comunidade 33,BREU BRANCO,Pará,53.3,85.3,27.8,412.0,46.0,2,65.8,Sim,Sim,-3.7785073,-49.5684795,0,Baixo Impacto
Comunidade 34,PALESTINA DO PARÁ,Pará,13.0,36.4,41.5,1267.0,138.8,8,99.2,Não,Sim,-5.7423938,-48.3185533,3,Perfis Mistos1
Comunidade 35,MARABÁ,Pará,36.3,64.6,51.2,1435.0,145.7,6,29.1,Não,Não,-5.3462821,-49.1007401,3,Perfis Mistos1
Comunidade 36,TERRA ALTA,Pará,27.5,34.0,62.6,1797.0,141.8,6,36.6,Sim,Sim,-1.0397924,-47.9091595,1,Alto Impacto
Comunidade 37,SÃO GERALDO DO ARAGUAIA,Pará,25.7,68.5,41.4,2792.0,72.2,10,39.0,Sim,Sim,-6.3927847,-48.5630137,3,Perfis Mistos1
Comunidade 38,PORTEL,Pará,87.7,60.9,49.3,1300.0,129.6,3,47.1,Sim,Sim,-1.9387118,-50.8240402,0,Baixo Impacto
Comunidade 39,CURUÇÁ,Pará,38.4,92.1,73.5,1302.0,127.0,1,83.8,Sim,Sim,-0.7220333,-47.8650027,2,Perfis Mistos
Comunidade 40,SAPUCAIA,Pará,80.8,54.6,13.1,2318.0,49.2,3,24.3,Não,Não,-6.9411006,-49.6991328,0,Baixo Impacto
Comunidade 41,NOVA IPIXUNA,Pará,58.6,38.2,31.5,1576.0,124.7,5,77.8,Sim,Sim,-4.916221,-49.082194,0,Baixo Impacto
Comunidade 42,PORTO DE MOZ,Pará,72.6,40.0,70.6,984.0,7.5,10,41.1,Não,Não,-1.7502089,-52.235556,1,Alto Impacto
Comunidade 43,CAPANEMA,Pará,47.7,83.3,86.1,1576.0,90.2,10,60.6,Não,Não,-1.1933054,-47.1828679,1,Alto Impacto
Comunidade 44,RURÓPOLIS,Pará,54.0,73.3,53.5,766.0,36.0,2,63.6,Sim,Não,-4.1014311,-54.9086853,2,Perfis Mistos
Comunidade 45,ORIXIMINÁ,Pará,46.9,37.1,55.2,859.0,19.8,0,37.9,Sim,Não,-1.7669992,-55.868285,2,Perfis Mistos
Comunidade 46,PRIMAVERA,Pará,21.6,35.9,19.1,1696.0,13.4,11,51.7,Sim,Sim,-0.9406522,-47.116728,3,Perfis Mistos1
Comunidade 47,TOMÉ-AÇU,Pará,66.4,79.1,48.0,1489.0,105.1,7,41.9,Sim,Não,-2.4166306,-48.1522907,3,Perfis Mistos1
Comunidade 48,MARITUBA,Pará,28.9,35.1,55.3,2779.0,52.3,11,7.8,Não,Sim,-1.3595306,-48.3361504,1,Alto Impacto
Comunidade 49,ALENQUER,Pará,7.1,87.5,30.6,1342.0,109.3,4,44.3,Sim,Sim,-1.946229,-54.738355,0,Baixo Impacto
Comunidade 50,NOVA TIMBOTEUA,Pará,59.9,79.4,32.9,1910.0,11.7,4,10.6,Sim,Não,-1.2052428,-47.3935775,0,Baixo Impacto
Comunidade 51,BUJARU,Pará,20.1,35.7,42.1,2044.0,48.7,10,41.1,Sim,Não,-1.5169239,-48.0410699,3,Perfis Mistos1
Comunidade 52,SÃO FÉLIX DO XINGU,Pará,84.9,35.9,11.7,434.0,81.8,3,59.7,Sim,Não,-6.6386974,-51.9787582,0,Baixo Impacto
Comunidade 53,SÃO GERALDO DO ARAGUAIA,Pará,86.1,99.1,37.4,2125.0,119.0,5,58.4,Sim,Sim,-6.3927847,-48.5630137,0,Baixo Impacto
Comunidade 54,BANNACH,Pará,82.8,56.2,28.0,863.0,49.2,2,66.6,Sim,Sim,-7.3508505,-50.4064531,0,Baixo Impacto
Comunidade 55,ULIANÓPOLIS,Pará,36.5,55.9,37.8,2899.0,94.6,8,10.4,Sim,Não,-3.7575266,-47.5009377,3,Perfis Mistos1
Comunidade 56,CAPITÃO POÇO,Pará,6.3,86.9,20.2,787.0,133.1,4,65.6,Sim,Sim,-1.7447162,-47.0638495,0,Baixo Impacto
Comunidade 57,SÃO JOÃO DO ARAGUAIA,Pará,83.9,96.3,85.7,1478.0,93.1,2,31.9,Sim,Não,-5.3617017,-48.7911109,2,Perfis Mistos
Comunidade 58,CACHOEIRA DO PIRIÁ,Pará,41.4,99.0,60.5,622.0,36.5,10,40.5,Sim,Não,-1.7599443,-46.5446954,1,Alto Impacto
Comunidade 59,CAPITÃO POÇO,Pará,87.2,82.7,67.7,2992.0,5.6,0,85.9,Sim,Sim,-1.7447162,-47.0638495,2,Perfis Mistos
Comunidade 60,BARCARENA,Pará,86.9,56.3,77.1,1706.0,130.8,9,1.9,Sim,Sim,-1.5107945,-48.6190679,1,Alto Impacto
Comunidade 61,SAPUCAIA,Pará,77.5,35.8,52.4,1948.0,5.1,11,59.3,Sim,Sim,-6.9411006,-49.6991328,1,Alto Impacto
Comunidade 62,SANTA CRUZ DO ARARI,Pará,30.0,84.4,17.4,574.0,131.5,5,60.3,Sim,Sim,-0.6637491,-49.1729321,0,Baixo Impacto
Comunidade 63,BRAGANÇA,Pará,37.7,69.1,55.7,2350.0,80.3,1,40.3,Sim,Não,-1.0574255,-46.7635232,2,Perfis Mistos
Comunidade 64,TRACUATEUA,Pará,77.3,59.7,59.9,946.0,141.0,2,24.5,Sim,Sim,-1.0765338,-46.9030822,2,Perfis Mistos
Comunidade 65,AUGUSTO CORRÊA,Pará,31.9,93.4,73.4,2735.0,120.2,0,24.2,Sim,Não,-1.0229335,-46.6404029,2,Perfis Mistos
Comunidade 66,ÓBIDOS,Pará,19.4,37.8,46.7,933.0,149.7,8,88.5,Sim,Sim,-1.901072,-55.520812,3,Perfis Mistos1
Comunidade 67,TOMÉ-AÇU,Pará,52.3,64.5,20.8,896.0,53.9,7,44.8,Sim,Não,-2.4166306,-48.1522907,3,Perfis Mistos1
Comunidade 68,CAPANEMA,Pará,84.6,30.8,34.1,495.0,115.5,11,33.8,Não,Sim,-1.1933054,-47.1828679,3,Perfis Mistos1
Comunidade 69,CUMARU DO NORTE,Pará,64.2,62.8,40.9,1627.0,61.5,1,45.4,Sim,Sim,-7.8122669,-50.7677675,0,Baixo Impacto
Comunidade 70,GARRAFÃO DO NORTE,Pará,53.5,33.9,64.9,1869.0,73.0,11,67.3,Sim,Sim,-1.9282256,-47.0513157,1,Alto Impacto
Comunidade 71,AVEIRO,Pará,13.3,38.3,58.5,571.0,94.9,10,15.4,Não,Não,-3.6029015,-55.328079,1,Alto Impacto
Comunidade 72,TRACUATEUA,Pará,57.3,38.2,40.3,2416.0,131.3,7,45.5,Não,Não,-1.0765338,-46.9030822,3,Perfis Mistos1
Comunidade 73,BELÉM,Pará,89.2,75.4,93.9,1579.0,147.6,11,59.2,Sim,Não,-1.45056,-48.4682453,1,Alto Impacto
Comunidade 74,INHANGAPI,Pará,16.9,82.2,61.5,1763.0,115.7,8,94.9,Sim,Sim,-1.4283738,-47.9108608,1,Alto Impacto
Comunidade 75,PORTEL,Pará,49.1,70.8,30.2,1546.0,63.8,0,26.0,Sim,Sim,-1.9387118,-50.8240402,0,Baixo Impacto
Comunidade 76,LIMOEIRO DO AJURU,Pará,79.6,97.4,18.7,1442.0,64.4,4,36.6,Sim,Sim,-1.8958926,-49.3828384,0,Baixo Impacto
Comunidade 77,NOVA IPIXUNA,Pará,68.0,56.2,23.0,1855.0,111.2,7,38.6,Sim,Sim,-4.916221,-49.082194,3,Perfis Mistos1
Comunidade 78,PONTA DE PEDRAS,Pará,64.2,50.0,30.9,804.0,37.3,10,60.9,Sim,Sim,-1.3914098,-48.8714528,3,Perfis Mistos1
Comunidade 79,PARAUAPEBAS,Pará,64.7,90.8,23.7,873.0,18.4,1,36.3,Sim,Não,-6.0696846,-49.8903283,0,Baixo Impacto
Comunidade 80,GOIANÉSIA DO PARÁ,Pará,35.6,45.7,25.9,2641.0,54.5,3,53.8,Sim,Não,-3.8380998,-49.0977992,0,Baixo Impacto
Comunidade 81,IGARAPÉ-AÇU,Pará,30.0,97.4,34.2,2860.0,44.5,6,78.4,Não,Não,-1.128244,-47.6199021,3,Perfis Mistos1
Comunidade 82,NOVO PROGRESSO,Pará,73.8,30.9,24.7,1371.0,45.9,2,70.8,Sim,Não,-7.0374884,-55.4185904,0,Baixo Impacto
Comunidade 83,NOVA TIMBOTEUA,Pará,73.9,97.9,86.2,1104.0,36.6,11,45.2,Sim,Sim,-1.2052428,-47.3935775,1,Alto Impacto
Comunidade 84,GOIANÉSIA DO PARÁ,Pará,78.7,33.0,16.8,2074.0,8.2,4,86.6,Sim,Sim,-3.8380998,-49.0977992,0,Baixo Impacto
Comunidade 85,ACARÁ,Pará,82.6,92.4,54.6,1463.0,4.6,7,56.3,Sim,Sim,-1.961388,-48.1987043,1,Alto Impacto
Comunidade 86,DOM ELISEU,Pará,48.5,66.9,44.9,466.0,148.2,11,54.5,Sim,Não,-4.2928111,-47.5559083,3,Perfis Mistos1
Comunidade 87,CANAÃ DOS CARAJÁS,Pará,47.6,99.5,93.5,806.0,65.3,9,4.4,Sim,Sim,-6.5296837,-49.8516592,1,Alto Impacto
Comunidade 88,AVEIRO,Pará,72.9,35.2,19.5,2262.0,58.9,2,98.7,Sim,Sim,-3.6029015,-55.328079,0,Baixo Impacto
Comunidade 89,SÃO JOÃO DE PIRABAS,Pará,60.2,68.8,43.8,2113.0,102.6,3,13.2,Sim,Sim,-0.7733201,-47.1770631,0,Baixo Impacto
Comunidade 90,BREU BRANCO,Pará,64.7,97.9,92.4,470.0,34.3,8,23.9,Sim,Sim,-3.7785073,-49.5684795,1,Alto Impacto
Comunidade 91,MAGALHÃES BARATA,Pará,72.6,66.6,83.6,977.0,142.6,6,6.1,Sim,Não,-0.7960066,-47.6010399,1,Alto Impacto
Comunidade 92,QUATIPURU,Pará,80.7,74.1,79.5,1001.0,118.4,0,64.4,Sim,Não,-0.8948725,-47.0049317,2,Perfis Mistos
Comunidade 93,ACARÁ,Pará,33.7,78.7,31.9,2147.0,15.2,11,23.2,Sim,Sim,-1.961388,-48.1987043,3,Perfis Mistos1
Comunidade 94,BRAGANÇA,Pará,36.9,61.8,24.5,451.0,63.8,3,18.8,Não,Não,-1.0574255,-46.7635232,0,Baixo Impacto
Comunidade 95,GURUPÁ,Pará,13.0,73.9,66.8,671.0,132.1,3,9.8,Sim,Não,-1.406325,-51.6427456,2,Perfis Mistos
Comunidade 96,ALTAMIRA,Pará,54.2,70.9,89.0,2480.0,141.8,8,11.2,Sim,Sim,-3.204065,-52.209961,1,Alto Impacto
Comunidade 97,SANTARÉM,Pará,8.1,93.1,57.3,864.0,71.2,5,58.9,Sim,Sim,-2.438489,-54.699611,2,Perfis Mistos
Comunidade 98,SÃO FÉLIX DO XINGU,Pará,44.6,33.2,58.6,2097.0,92.8,8,69.1,Sim,Sim,-6.6386974,-51.9787582,1,Alto Impacto
