Comunidade,Município,Estado,Índice de Desmatamento (%),Acesso à Água Potável (%),Cobertura Vegetal (%),Renda Média Mensal (R$),Densidade Populacional (hab/km²),Frequência de Queimadas (ano),Distância de Área Urbana (km),Presença de Escola (Sim/Não),Presença de Unidade de Saúde (Sim/Não),Latitude,Longitude,Cluster,Cluster_Nome
Comunidade 99,ALENQUER,Pará,51.1,49.7,33.8,1019.0,26.7,11,40.3,Não,Sim,-1.946229,-54.738355,3,Perfis Mistos1
Comunidade 100,SANTO ANTÔNIO DO TAUÁ,Pará,29.4,96.5,75.4,659.0,148.7,5,48.5,Sim,Não,-1.1522,-48.131446,2,Perfis Mistos
Comunidade 101,SANTA MARIA DAS BARREIRAS,Pará,55.2,92.3,25.9,1032.0,36.3,5,68.9,Não,Sim,-8.8710157,-49.7171263,0,Baixo Impacto
Comunidade 102,ANAPU,Pará,7.6,61.9,37.5,2278.0,141.5,4,2.7,Sim,Não,-3.4668292,-51.2057035,0,Baixo Impacto
Comunidade 103,CANAÃ DOS CARAJÁS,Pará,8.2,73.4,46.2,2625.0,98.1,4,33.0,Sim,Sim,-6.5296837,-49.8516592,0,Baixo Impacto
Comunidade 104,BRASIL NOVO,Pará,74.9,49.4,53.1,2559.0,91.9,1,97.3,Sim,Sim,-3.3055853,-52.539198,2,Perfis Mistos
Comunidade 105,SÃO DOMINGOS DO CAPIM,Pará,35.6,43.2,30.6,1433.0,77.9,7,58.4,Não,Sim,-1.6789331,-47.7717815,3,Perfis Mistos1
Comunidade 106,NOVA ESPERANÇA DO PIRIÁ,Pará,15.8,62.5,19.8,2137.0,36.1,7,26.2,Sim,Sim,-2.2663093,-46.9661622,3,Perfis Mistos1
Comunidade 107,NOVO REPARTIMENTO,Pará,49.4,54.7,61.9,933.0,28.1,10,52.7,Sim,Sim,-4.2519172,-49.9524257,1,Alto Impacto
Comunidade 108,TRACUATEUA,Pará,70.4,70.9,34.5,1162.0,34.6,0,34.9,Não,Não,-1.0765338,-46.9030822,0,Baixo Impacto
Comunidade 109,PORTO DE MOZ,Pará,23.3,35.4,59.4,2730.0,29.6,7,53.7,Sim,Sim,-1.7502089,-52.235556,1,Alto Impacto
Comunidade 110,BAGRE,Pará,57.9,98.2,23.1,434.0,117.4,4,13.4,Sim,Não,-1.8994498,-50.2103844,0,Baixo Impacto
Comunidade 111,GARRAFÃO DO NORTE,Pará,12.3,99.0,50.9,622.0,53.8,1,14.1,Sim,Sim,-1.9282256,-47.0513157,0,Baixo Impacto
Comunidade 112,IGARAPÉ-AÇU,Pará,9.4,78.9,55.3,941.0,10.6,1,15.2,Não,Sim,-1.128244,-47.6199021,2,Perfis Mistos
Comunidade 113,SANTA ISABEL DO PARÁ,Pará,50.2,67.5,14.4,469.0,145.4,5,94.0,Sim,Sim,-1.2968557,-48.1605533,0,Baixo Impacto
Comunidade 114,CAMETÁ,Pará,51.0,51.7,38.6,872.0,132.8,10,73.6,Sim,Sim,-2.242949,-49.497885,3,Perfis Mistos1
Comunidade 115,SANTA ISABEL DO PARÁ,Pará,59.2,87.0,21.4,1916.0,139.3,8,17.1,Não,Sim,-1.2968557,-48.1605533,3,Perfis Mistos1
Comunidade 116,SÃO GERALDO DO ARAGUAIA,Pará,66.7,77.9,15.4,1496.0,149.2,0,19.6,Sim,Sim,-6.3927847,-48.5630137,0,Baixo Impacto
Comunidade 117,VITÓRIA DO XINGU,Pará,87.9,41.4,94.1,2721.0,27.7,11,73.4,Sim,Sim,-2.8833063,-52.0114889,1,Alto Impacto
Comunidade 118,TAILÂNDIA,Pará,48.9,93.8,37.4,2525.0,60.6,5,16.5,Sim,Sim,-2.936096,-48.9523366,0,Baixo Impacto
Comunidade 119,ALMEIRIM,Pará,32.5,87.6,78.8,1289.0,114.2,8,24.2,Sim,Sim,-1.5290377,-52.5788111,1,Alto Impacto
Comunidade 120,SÃO JOÃO DA PONTA,Pará,72.6,96.5,31.6,1075.0,105.0,7,96.4,Não,Sim,-0.8526516,-47.9224095,3,Perfis Mistos1
Comunidade 121,LIMOEIRO DO AJURU,Pará,28.0,80.8,67.9,1387.0,24.8,10,26.3,Não,Não,-1.8958926,-49.3828384,1,Alto Impacto
Comunidade 122,PARAGOMINAS,Pará,42.3,72.9,74.6,1935.0,122.7,5,66.5,Sim,Não,-2.99564,-47.3548942,2,Perfis Mistos
Comunidade 123,SÃO JOÃO DE PIRABAS,Pará,11.7,59.3,60.6,1097.0,35.2,2,97.9,Sim,Sim,-0.7733201,-47.1770631,2,Perfis Mistos
Comunidade 124,IRITUIA,Pará,7.2,95.3,50.1,2023.0,35.1,7,38.1,Sim,Sim,-1.7709543,-47.4399687,3,Perfis Mistos1
Comunidade 125,BELÉM,Pará,86.8,90.6,45.0,1464.0,81.5,8,2.7,Sim,Não,-1.45056,-48.4682453,3,Perfis Mistos1
Comunidade 126,GURUPÁ,Pará,76.1,33.2,39.7,1835.0,89.8,0,25.2,Sim,Não,-1.406325,-51.6427456,0,Baixo Impacto
Comunidade 127,ULIANÓPOLIS,Pará,64.2,31.8,89.0,1534.0,87.9,11,83.3,Sim,Sim,-3.7575266,-47.5009377,1,Alto Impacto
Comunidade 128,SÃO JOÃO DE PIRABAS,Pará,39.8,56.4,80.6,1166.0,15.5,8,86.6,Sim,Não,-0.7733201,-47.1770631,1,Alto Impacto
Comunidade 129,SÃO JOÃO DE PIRABAS,Pará,19.7,86.7,92.0,2866.0,131.9,5,77.1,Sim,Sim,-0.7733201,-47.1770631,2,Perfis Mistos
Comunidade 130,SÃO SEBASTIÃO DA BOA VISTA,Pará,18.3,99.1,20.6,2385.0,41.3,5,12.2,Sim,Sim,-1.7182884,-49.5319955,0,Baixo Impacto
Comunidade 131,BARCARENA,Pará,26.3,40.5,72.1,764.0,21.2,11,79.8,Sim,Não,-1.5107945,-48.6190679,1,Alto Impacto
Comunidade 132,ORIXIMINÁ,Pará,51.7,71.6,89.8,2658.0,133.5,3,91.9,Sim,Sim,-1.7669992,-55.868285,2,Perfis Mistos
Comunidade 133,TUCUMÃ,Pará,65.7,56.7,25.4,1667.0,143.4,0,60.5,Não,Não,-6.7517239,-51.1507941,0,Baixo Impacto
Comunidade 134,MARAPANIM,Pará,61.1,97.9,15.7,2726.0,129.6,9,94.1,Sim,Não,-0.7134493,-47.6985381,3,Perfis Mistos1
Comunidade 135,PACAJÁ,Pará,28.8,88.9,73.0,2480.0,121.8,7,82.9,Não,Sim,-3.8354195,-50.6399248,1,Alto Impacto
Comunidade 136,PRIMAVERA,Pará,86.2,88.7,58.8,1506.0,99.0,1,67.0,Não,Sim,-0.9406522,-47.116728,2,Perfis Mistos
Comunidade 137,PARAUAPEBAS,Pará,67.7,62.8,81.6,458.0,83.5,11,58.1,Sim,Sim,-6.0696846,-49.8903283,1,Alto Impacto
Comunidade 138,CONCÓRDIA DO PARÁ,Pará,52.1,59.0,21.9,1099.0,14.9,0,35.5,Não,Sim,-1.9924056,-47.9450474,0,Baixo Impacto
Comunidade 139,NOVA ESPERANÇA DO PIRIÁ,Pará,57.0,49.1,77.6,1808.0,62.5,1,16.8,Sim,Não,-2.2663093,-46.9661622,2,Perfis Mistos
Comunidade 140,CONCÓRDIA DO PARÁ,Pará,40.7,33.9,27.1,2047.0,57.2,0,60.9,Sim,Sim,-1.9924056,-47.9450474,0,Baixo Impacto
Comunidade 141,RIO MARIA,Pará,26.1,90.5,23.9,1071.0,40.4,0,32.5,Sim,Sim,-7.3137312,-50.0465372,0,Baixo Impacto
Comunidade 142,BELTERRA,Pará,35.3,86.9,24.0,762.0,109.1,8,86.8,Sim,Não,-2.636091,-54.937392,3,Perfis Mistos1
Comunidade 143,SÃO DOMINGOS DO CAPIM,Pará,69.4,100.0,79.2,2571.0,75.4,0,99.3,Sim,Sim,-1.6789331,-47.7717815,2,Perfis Mistos
Comunidade 144,NOVO REPARTIMENTO,Pará,6.2,99.8,66.5,2959.0,14.0,3,75.5,Sim,Não,-4.2519172,-49.9524257,2,Perfis Mistos
Comunidade 145,GURUPÁ,Pará,14.9,68.9,54.5,1767.0,34.6,9,10.0,Sim,Sim,-1.406325,-51.6427456,1,Alto Impacto
Comunidade 146,CACHOEIRA DO ARARI,Pará,8.9,83.8,40.5,846.0,103.1,5,29.6,Sim,Não,-1.0143572,-48.9621089,0,Baixo Impacto
Comunidade 147,CURRALINHO,Pará,8.5,96.1,84.6,1108.0,13.3,6,11.8,Sim,Sim,-1.8137876,-49.7980165,1,Alto Impacto
Comunidade 148,RONDON DO PARÁ,Pará,77.7,89.5,43.4,448.0,128.0,1,65.4,Sim,Sim,-4.7804416,-48.06983,0,Baixo Impacto
Comunidade 149,SANTA ISABEL DO PARÁ,Pará,64.8,47.3,79.4,2777.0,75.3,5,76.8,Sim,Sim,-1.2968557,-48.1605533,2,Perfis Mistos
Comunidade 150,VIGIA,Pará,45.3,61.5,47.3,706.0,73.1,6,92.6,Sim,Sim,-0.8546027,-48.1432873,3,Perfis Mistos1
Comunidade 151,GURUPÁ,Pará,13.3,39.0,42.0,1899.0,89.7,9,44.4,Não,Não,-1.406325,-51.6427456,3,Perfis Mistos1
Comunidade 152,CAMETÁ,Pará,46.8,96.8,49.3,1113.0,124.1,9,90.2,Sim,Não,-2.242949,-49.497885,3,Perfis Mistos1
Comunidade 153,QUATIPURU,Pará,45.2,72.4,35.6,1841.0,53.5,1,87.9,Sim,Não,-0.8948725,-47.0049317,0,Baixo Impacto
Comunidade 154,ANANINDEUA,Pará,19.7,46.0,73.5,2094.0,102.3,1,32.4,Sim,Sim,-1.374035,-48.4016623,2,Perfis Mistos
Comunidade 155,RURÓPOLIS,Pará,41.9,77.0,52.7,2557.0,85.7,9,87.0,Sim,Sim,-4.1014311,-54.9086853,1,Alto Impacto
Comunidade 156,SANTA MARIA DAS BARREIRAS,Pará,38.9,73.3,29.7,937.0,41.5,6,38.2,Não,Sim,-8.8710157,-49.7171263,3,Perfis Mistos1
Comunidade 157,VIGIA,Pará,57.3,55.1,86.5,429.0,132.0,11,30.4,Sim,Sim,-0.8546027,-48.1432873,1,Alto Impacto
Comunidade 158,SANTO ANTÔNIO DO TAUÁ,Pará,59.0,37.9,42.6,756.0,120.0,0,65.3,Não,Não,-1.1522,-48.131446,0,Baixo Impacto
Comunidade 159,VIGIA,Pará,8.9,77.0,56.2,2740.0,99.5,7,33.5,Sim,Sim,-0.8546027,-48.1432873,1,Alto Impacto
Comunidade 160,NOVA TIMBOTEUA,Pará,36.8,66.4,87.1,2672.0,127.9,10,63.4,Sim,Sim,-1.2052428,-47.3935775,1,Alto Impacto
Comunidade 161,VIGIA,Pará,58.2,84.1,63.1,1953.0,130.4,2,61.4,Sim,Sim,-0.8546027,-48.1432873,2,Perfis Mistos
Comunidade 162,BANNACH,Pará,47.8,66.4,19.9,1961.0,106.8,10,56.8,Sim,Não,-7.3508505,-50.4064531,3,Perfis Mistos1
Comunidade 163,RURÓPOLIS,Pará,77.8,89.7,89.9,2129.0,125.9,5,38.7,Sim,Não,-4.1014311,-54.9086853,2,Perfis Mistos
Comunidade 164,CAPITÃO POÇO,Pará,61.0,68.6,63.4,856.0,105.2,8,55.3,Não,Não,-1.7447162,-47.0638495,1,Alto Impacto
Comunidade 165,PEIXE-BOI,Pará,18.8,69.3,38.5,2777.0,102.7,5,60.1,Não,Sim,-1.193824,-47.324031,0,Baixo Impacto
Comunidade 166,PARAUAPEBAS,Pará,11.0,91.4,21.8,1489.0,93.6,8,55.0,Sim,Sim,-6.0696846,-49.8903283,3,Perfis Mistos1
Comunidade 167,MEDICILÂNDIA,Pará,59.6,58.2,77.5,1396.0,113.4,6,45.0,Não,Não,-3.4438388,-52.8889236,1,Alto Impacto
Comunidade 168,RURÓPOLIS,Pará,7.3,39.4,62.7,1749.0,25.5,8,2.5,Não,Não,-4.1014311,-54.9086853,1,Alto Impacto
Comunidade 169,CAPANEMA,Pará,54.8,32.0,55.3,522.0,132.4,1,59.1,Sim,Sim,-1.1933054,-47.1828679,2,Perfis Mistos
Comunidade 170,ITUPIRANGA,Pará,84.9,82.9,86.0,832.0,131.0,11,17.7,Sim,Não,-5.1337224,-49.3321988,1,Alto Impacto
Comunidade 171,DOM ELISEU,Pará,53.9,73.4,77.0,2319.0,6.3,7,64.6,Sim,Não,-4.2928111,-47.5559083,1,Alto Impacto
Comunidade 172,ANAJÁS,Pará,38.0,79.3,22.9,615.0,124.2,7,76.2,Sim,Não,-0.9878802,-49.9390114,3,Perfis Mistos1
Comunidade 173,CUMARU DO NORTE,Pará,59.7,44.9,36.5,1968.0,21.1,1,50.5,Sim,Não,-7.8122669,-50.7677675,0,Baixo Impacto
Comunidade 174,JACUNDÁ,Pará,44.0,39.5,31.1,1038.0,51.6,11,54.7,Sim,Sim,-4.446173,-49.115272,3,Perfis Mistos1
Comunidade 175,RIO MARIA,Pará,51.4,31.0,73.2,1412.0,112.0,3,95.2,Não,Sim,-7.3137312,-50.0465372,2,Perfis Mistos
Comunidade 176,SANTANA DO ARAGUAIA,Pará,85.0,54.5,12.9,1151.0,25.8,10,84.9,Sim,Sim,-9.3348334,-50.3427734,3,Perfis Mistos1
Comunidade 177,NOVO PROGRESSO,Pará,37.8,71.3,58.4,1325.0,123.1,6,91.5,Sim,Não,-7.0374884,-55.4185904,1,Alto Impacto
Comunidade 178,MOJUÍ DOS CAMPOS,Pará,86.7,57.5,74.8,2270.0,125.2,10,81.6,Não,Não,-2.682167,-54.642717,1,Alto Impacto
Comunidade 179,SANTA MARIA DO PARÁ,Pará,82.0,60.6,84.5,1173.0,77.1,3,11.8,Não,Não,-1.3455478,-47.5782981,2,Perfis Mistos
Comunidade 180,GARRAFÃO DO NORTE,Pará,21.6,93.3,39.1,1873.0,2.9,3,15.8,Sim,Sim,-1.9282256,-47.0513157,0,Baixo Impacto
Comunidade 181,JURUTI,Pará,10.9,54.4,79.8,1638.0,44.5,5,53.1,Não,Não,-2.1571381,-56.0900977,2,Perfis Mistos
Comunidade 182,SALINÓPOLIS,Pará,13.6,66.0,19.4,2126.0,93.3,9,25.4,Sim,Não,-0.6259282,-47.3442819,3,Perfis Mistos1
Comunidade 183,BELTERRA,Pará,6.5,84.9,81.9,2836.0,147.2,5,48.2,Sim,Não,-2.636091,-54.937392,2,Perfis Mistos
Comunidade 184,PORTO DE MOZ,Pará,13.0,57.8,20.8,2305.0,95.5,9,40.0,Sim,Não,-1.7502089,-52.235556,3,Perfis Mistos1
Comunidade 185,SANTA ISABEL DO PARÁ,Pará,63.1,73.5,43.8,959.0,40.5,2,55.4,Sim,Não,-1.2968557,-48.1605533,0,Baixo Impacto
Comunidade 186,CAMETÁ,Pará,11.1,90.4,77.8,481.0,95.8,8,74.9,Sim,Sim,-2.242949,-49.497885,1,Alto Impacto
Comunidade 187,PACAJÁ,Pará,32.1,96.5,22.7,1082.0,81.9,11,71.8,Sim,Sim,-3.8354195,-50.6399248,3,Perfis Mistos1
Comunidade 188,ANANINDEUA,Pará,76.8,40.3,29.5,1947.0,117.4,9,52.6,Sim,Sim,-1.374035,-48.4016623,3,Perfis Mistos1
Comunidade 189,ÓBIDOS,Pará,7.0,94.9,71.4,534.0,17.8,10,82.4,Sim,Sim,-1.901072,-55.520812,1,Alto Impacto
Comunidade 190,SÃO FÉLIX DO XINGU,Pará,74.2,64.4,71.2,1691.0,114.6,1,43.7,Sim,Não,-6.6386974,-51.9787582,2,Perfis Mistos
Comunidade 191,PARAUAPEBAS,Pará,29.0,48.1,64.5,1952.0,82.1,5,89.8,Não,Não,-6.0696846,-49.8903283,2,Perfis Mistos
Comunidade 192,PLACAS,Pará,15.0,62.1,69.0,1269.0,144.5,11,8.1,Sim,Sim,-3.8689529,-54.2154346,1,Alto Impacto
Comunidade 193,BAGRE,Pará,64.2,98.6,56.1,2404.0,52.6,6,95.5,Sim,Sim,-1.8994498,-50.2103844,1,Alto Impacto
Comunidade 194,SANTARÉM,Pará,58.5,64.5,31.4,677.0,95.6,11,65.8,Sim,Não,-2.438489,-54.699611,3,Perfis Mistos1
Comunidade 195,FLORESTA DO ARAGUAIA,Pará,79.6,53.0,39.4,595.0,139.9,8,38.6,Sim,Sim,-7.5597065,-49.7032829,3,Perfis Mistos1
Comunidade 196,MOJUÍ DOS CAMPOS,Pará,67.5,74.3,25.4,2293.0,17.2,2,20.5,Sim,Sim,-2.682167,-54.642717,0,Baixo Impacto
Comunidade 197,PORTO DE MOZ,Pará,73.3,46.8,87.2,1688.0,140.7,9,48.4,Não,Sim,-1.7502089,-52.235556,1,Alto Impacto
Comunidade 198,TUCURUÍ,Pará,29.0,35.3,59.6,2190.0,103.8,2,20.3,Sim,Sim,-3.766334,-49.6663654,2,Perfis Mistos
Comunidade 199,CURUÇÁ,Pará,20.1,39.0,44.1,1531.0,12.0,6,17.5,Sim,Sim,-0.7220333,-47.8650027,3,Perfis Mistos1
Comunidade 200,VIGIA,Pará,68.8,39.0,49.3,1041.0,46.5,3,62.1,Sim,Sim,-0.8546027,-48.1432873,0,Baixo Impacto
